"item_id","name","powers","need","count","time","gfxid","nameid","level","note2"
"55000","魔法娃娃：肥肥","259","41246","50","1800","6100","$5223","1","0"
"55001","魔法娃娃：小思克巴","47","41246","50","1800","5919","$5224","2","0"
"55002","魔法娃娃：野狼寶寶","63","41246","50","1800","6096","$5222","1","0"
"55003","魔法娃娃 : 稻草人  ","81,58,13,18","41246","50","1800","7050","$9591","0","0"
"55004","魔法娃娃：巫妖","235,146,86,47","41246","50","1800","7053","$2110","4","0"
"55005","魔法娃娃：希爾戴絲","33","41246","50","1800","6477","$1429","0","0"
"55006","魔法娃娃：雪怪","3,100","41246","50","1800","6480","$6416","1","0"
"55007","魔法娃娃：蛇女","33","41246","50","1800","6483","$7450","0","0"
"55008","魔法娃娃：公主","184","41246","50","1800","5933","$7493","0","0"
"55009","魔法娃娃：史巴托","52,116","41246","50","1800","7257","$7399","0","0"
"55010","魔法娃娃：長老","47","41246","50","1800","6443","$5414","2","0"
"55011","魔法娃娃：奎斯坦修","63","41246","50","1800","6449","$5415","1","0"
"55012","魔法娃娃：石頭高侖","85","41246","50","1800","6452","$5416","1","0"
"55013","魔法娃娃：亞力安","74,80","41246","50","1800","7047","$7510","2","0"
"55014","魔法娃娃：變形怪","186","41246","50","1800","7516","$1554","3","0"
"55015","魔法娃娃：王族(♂)","125,134,258,24","41246","1","1800","9635","$12257","4","0"
"55016","魔法娃娃：王族(♀)","125,134,258,38","41246","1","1800","9638","$12258","4","0"
"55017","魔法娃娃：騎士(♂)","126,258,24","41246","1","1800","9411","$12259","4","0"
"55018","魔法娃娃：騎士(♀)","126,258,38","41246","1","1800","9414","$12260","4","0"
"55019","魔法娃娃：妖精(♂)","129,258,24","41246","1","1800","9398","$12263","4","0"
"55020","魔法娃娃：妖精(♀)","129,258,38","41246","1","1800","9401","$12264","4","0"
"55021","魔法娃娃：法師(♂)","132,258,24","41246","1","1800","9381","$12261","4","0"
"55022","魔法娃娃：法師(♀)","132,258,38","41246","1","1800","9377","$12262","4","0"
"55023","魔法娃娃：黑暗妖精(♂)","134,128,258,24","41246","1","1800","9391","$12265","4","0"
"55024","魔法娃娃：黑暗妖精(♀)","134,128,258,38","41246","1","1800","9395","$12266","4","0"
"55025","魔法娃娃：龍騎士(♂)","135,258,24","41246","1","1800","9388","$12267","4","0"
"55026","魔法娃娃：龍騎士(♀)","135,258,38","41246","1","1800","9385","$12268","4","0"
"55027","魔法娃娃：幻術士(♂)","131,137,258,24","41246","1","1800","9404","$12269","4","0"
"55028","魔法娃娃：幻術士(♀)","131,137,258,38","41246","1","1800","9407","$12270","4","0"
"55029","魔法娃娃：美人魚  ","141,16","41246","50","1800","8650","$11468","0","0"
"55030","努力的魔法娃娃：美人魚  ","141,17,42","41246","50","1800","8694","$11469","1","0"
"55031","聰明的魔法娃娃：美人魚  ","141,18,42","41246","50","1800","8695","$11470","2","0"
"55032","聰穎的魔法娃娃：美人魚  ","141,19,42,50","41246","50","1800","8696","$11471","3","0"
"55033","發光的魔法娃娃：美人魚  ","141,20,42,50","41246","50","1800","8653","$11472","4","0"
"55034","光彩照人的魔法娃娃：美人魚  ","141,22,42,50,264","41246","50","1800","8656","$11473","5","0"
"55035","魔法娃娃 : 阿魯巴  ","140,259","41246","50","1800","8741","$10191","0","0"
"55036","努力的魔法娃娃：阿魯巴","140,265,28","41246","50","1800","8748","$11537","1","0"
"55037","聰明的魔法娃娃：阿魯巴","140,66,28","41246","50","1800","8749","$11538","2","0"
"55038","聰穎的魔法娃娃：阿魯巴","140,266,28,51","41246","50","1800","8750","$11539","3","0"
"55039","發光的魔法娃娃：阿魯巴","140,267,28,51","41246","50","1800","8743","$11540","4","0"
"55040","光彩照人的魔法娃娃：阿魯巴","140,268,28,51,170","41246","50","1800","8744","$11541","5","0"
"55041","巨人魔法娃娃  ","258,287","41246","50","1800","8539","$11542","0","0"
"55042","努力的巨人魔法娃娃  ","258,288,1","41246","50","1800","8543","$11543","1","0"
"55043","聰明的 巨人魔法娃娃  ","258,289,1","41246","50","1800","8544","$11544","2","0"
"55044","聰穎的 巨人魔法娃娃  ","258,290,1,247","41246","50","1800","8546","$11545","3","0"
"55045","發光的巨人魔法娃娃  ","258,291,1,247","41246","50","1800","8542","$11546","4","0"
"55046","光彩照人的巨人魔法娃娃  ","258,292,1,247,274","41246","50","1800","8545","$11547","5","0"
"55047","獨眼巨人 魔法娃娃  ","259","41246","50","1800","8549","$11548","0","0"
"55048","努力的獨眼巨人 魔法娃娃  ","259,8","41246","50","1800","8601","$11549","1","0"
"55049","聰明的 獨眼巨人 魔法娃娃  ","259,9","41246","50","1800","8603","$11550","2","0"
"55050","聰穎的 獨眼巨人 魔法娃娃  ","259,10,275","41246","50","1800","8697","$11551","3","0"
"55051","發光的獨眼巨人 魔法娃娃  ","259,11,275","41246","50","1800","8600","$11552","4","0"
"55052","光彩照人的獨眼巨人 魔法娃娃  ","259,13,275,276","41246","50","1800","8602","$11553","5","0"
"55053","橘熾娃娃：紅火","57","41246","50","1800","9693","$12590","0","0"
"55054","燃燒的橘熾娃娃：紅火","57,51,5","41246","50","1800","9694","$12591","1","0"
"55055","猛烈的橘熾娃娃：紅火","58,51,6","41246","50","1800","9695","$12592","2","0"
"55056","爆發的橘熾娃娃：紅火","58,52,7","41246","50","1800","9696","$12593","3","0"
"55057","雷厲的橘熾娃娃：紅火","59,53,8","41246","50","1800","9697","$12594","4","0"
"55058","猖狂的橘熾娃娃：紅火","61,55,10","41246","50","1800","9698","$12595","5","0"
"55059","橘熾娃娃：黃燄","74","41246","50","1800","10266","$12596","0","0"
"55060","燃燒的橘熾娃娃：黃燄","74,80","41246","50","1800","9684","$12597","1","0"
"55061","猛烈的橘熾娃娃：黃燄","74,81","41246","50","1800","9685","$12598","2","0"
"55062","爆發的橘熾娃娃：黃燄","75,81","41246","50","1800","9690","$12599","3","0"
"55063","雷厲的橘熾娃娃：黃燄","76,82","41246","50","1800","9691","$12600","4","0"
"55064","猖狂的橘熾娃娃：黃燄","78,84,6,15","41246","50","1800","9692","$12601","5","0"
"55065","橘熾娃娃：綠光","41","41246","50","1800","9699","$12584","0","0"
"55066","燃燒的橘熾娃娃：綠光","42,14","41246","50","1800","9700","$12585","1","0"
"55067","猛烈的橘熾娃娃：綠光","43,14","41246","50","1800","9701","$12586","2","0"
"55068","爆發的橘熾娃娃：綠光","45,15,65","41246","50","1800","9702","$12587","3","0"
"55069","雷厲的橘熾娃娃：綠光","46,16,277","41246","50","1800","9703","$12588","4","0"
"55070","猖狂的橘熾娃娃：綠光","49,18,66,87","41246","50","1800","9704","$12589","5","0"
"55071","橘熾娃娃：飛龍","51,74","41246","50","1800","10256","$12577","0","0"
"55072","燃燒的橘熾娃娃：飛龍","52,75","41246","50","1800","9679","燃燒的橘熾娃娃：飛龍","1","0"
"55073","猛烈的橘熾娃娃：飛龍","52,75,57,80","41246","50","1800","9680","猛烈的橘熾娃娃：飛龍","2","0"
"55074","爆發的橘熾娃娃：飛龍","52,75,57,80,85","41246","50","1800","9681","爆發的橘熾娃娃：飛龍","3","0"
"55075","雷厲的橘熾娃娃：飛龍","53,76,58,81,85","41246","50","1800","9682","雷厲的橘熾娃娃：飛龍","4","0"
"55076","猖狂的橘熾娃娃：飛龍","53,76,58,81,86,172","41246","50","1800","9683","猖狂的橘熾娃娃：飛龍","5","0"
"55077","橘熾娃娃：藍炙","1","41246","50","1800","9705","$12578","0","0"
"55078","燃燒的橘熾娃娃：藍炙","1,149","41246","50","1800","9706","$12579","1","0"
"55079","猛烈的橘熾娃娃：藍炙","2,163","41246","50","1800","9707","$12580","2","0"
"55080","爆發的橘熾娃娃：藍炙","2,164,169","41246","50","1800","9708","$12581","3","0"
"55081","雷厲的橘熾娃娃：藍炙","3,165,168","41246","50","1800","9709","$12582","4","0"
"55082","猖狂的橘熾娃娃：藍炙","235,167,91","41246","50","1800","9710","$12583","5","0"
"55101","魔法娃娃：新手守護神","73,173,174,175,140","41246","50","1800","7516","魔法娃娃：新手守護神","0","0"
"80365","魔法娃娃：孫悟空","248,55,87,116,280","41246","50","1800","14809","魔法娃娃：孫悟空","5","0"
"80366","魔法娃娃：豬八戒","262,79,84,88,281","41246","50","1800","14829","魔法娃娃：豬八戒","5","0"
"80367","魔法娃娃：沙悟淨","262,197,89,47,282","41246","50","1800","14805","魔法娃娃：沙悟淨","5","0"
"80368","魔法娃娃：巴風特","307,116","41246","50","1800","15975","魔法娃娃：巴風特","5","0"
"80369","魔法娃娃：冰之女王","78,84,116","41246","50","1800","15969","魔法娃娃：冰之女王","5","0"
