"item_id","name","classname","name_id","item_type","use_type","material","weight","invgfx","grdgfx","itemdesc_id","stackable","max_charge_count","dmg_small","dmg_large","min_lvl","max_lvl","bless","trade","cant_delete","delay_id","delay_time","delay_effect","food_volume","save_at_once"
"40001","燈","Light","$2","light","light","copper","20000","3","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40002","燈籠","Light","$326","light","light","copper","30000","140","181","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40003","燈油","Lamp_Oil","$327","other","choice","glass","1000","142","239","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40004","魔法燈籠","Light","$3426","light","light","copper","30000","140","181","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40005","蠟燭","Light","$67","light","light","web","2000","24","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40006","創造怪物魔杖","wand.Create_Monster_Magic_Wand","$28","wand","spell_1","wood","7000","117","28","19","0","15","0","0","100","0","1","0","0","6","1000","0","0","1"
"40007","閃電魔杖","wand.Lightning_Magic_Wand","$262","wand","spell_long","wood","7000","118","28","21","0","15","0","0","0","0","1","0","0","6","1000","0","0","0"
"40008","變形魔杖","wand.Poly_Magic_Wand","$27","wand","spell_long","wood","7000","116","28","20","0","15","0","0","0","0","1","0","0","6","1000","0","0","1"
"40009","驅逐魔杖","wand.Wand_Blink","$975","wand","spell_long","wood","7000","118","28","301","0","15","0","0","200","0","1","0","0","6","1000","0","0","1"
"40010","治癒藥水","hp.Cure_Potion1","$26","potion","hpr","glass","3900","80","45","1342","1","0","0","0","0","0","1","0","0","2","500","0","0","0"
"40011","強力治癒藥水","hp.Power_Reply_potion2","$235","potion","hpr","glass","4900","78","43","15","1","0","0","0","0","0","1","0","0","2","1000","0","0","0"
"40012","終極治癒藥水","hp.Power_Reply_potion4","$238","potion","hpr","glass","5850","81","46","130","1","0","0","0","0","0","1","0","0","2","1000","0","0","0"
"40013","自我加速藥水","brave.Acceleration_Potion","$234","potion","power","glass","3900","77","42","17","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40014","勇敢藥水","brave.Potion_1_1","$943","potion","power","glass","4500","79","44","296","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40015","加速魔力回復藥水","mp.Mpr7","$232","potion","mpr","glass","7800","75","20","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40016","慎重藥水","brave.Wisdom_Potion","$944","potion","power","glass","4500","1529","3836","297","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40017","解毒藥水","Disintoxicat_Potion","$233","potion","normal","glass","3900","76","41","126","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40018","強化綠色藥水","brave.Acceleration_Potion","$1652 $234","potion","power","glass","7050","621","42","17","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40019","濃縮體力恢復劑","hp.Cure_Potion1","$1251","potion","hpr","glass","1950","535","3041","0","1","0","0","0","0","0","1","0","0","2","500","0","0","0"
"40020","濃縮強力體力恢復劑","hp.Power_Reply_potion2","$1252","potion","hpr","glass","2450","532","3042","0","1","0","0","0","0","0","1","0","0","2","1000","0","0","0"
"40021","濃縮終極體力恢復劑","hp.Power_Reply_potion4","$1253","potion","hpr","glass","2950","536","3043","0","1","0","0","0","0","0","1","0","0","2","1000","0","0","0"
"40022","古代體力恢復劑","hp.Power_Reply_potion1","$2575","potion","hpr","glass","3900","1161","3041","915","1","0","0","0","0","0","1","0","0","2","500","0","0","0"
"40023","古代強力體力恢復劑","hp.Power_Reply_potion3","$2576","potion","hpr","glass","4900","1162","3042","916","1","0","0","0","0","0","1","0","0","2","500","0","0","0"
"40024","古代終極體力恢復劑","hp.Power_Reply_potion5","$2577","potion","hpr","glass","5850","1163","3043","917","1","0","0","0","0","0","1","0","0","2","500","0","0","0"
"40025","失明藥水","Blindness_Potion","$239","potion","normal","glass","15600","82","47","16","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40026","香蕉汁","hp.Fruit_Juice","$107 $2372","potion","hpr","glass","2930","1033","47","0","1","0","0","0","0","0","1","0","0","2","1000","0","0","0"
"40027","橘子汁","hp.Fruit_Juice","$85 $2372","potion","hpr","glass","2930","1034","47","0","1","0","0","0","0","0","1","0","0","2","1000","0","0","0"
"40028","蘋果汁","hp.Fruit_Juice","$106 $2372","potion","hpr","glass","2930","1032","47","0","1","0","0","0","0","0","1","0","0","2","1000","0","0","0"
"40029","象牙塔治癒藥水","hp.Cure_Potion1","$3301","potion","hpr","glass","7800","80","45","1342","1","0","0","0","0","50","1","1","0","2","500","0","0","0"
"40030","象牙塔加速藥水","brave.Acceleration_Potion","$3302","potion","power","glass","7800","77","42","1343","1","0","0","0","0","50","1","1","0","0","0","0","0","0"
"40031","惡魔之血","brave.Potion_3","$3372","potion","power","glass","0","1761","4338","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40032","伊娃的祝福","Water_Essence","$1507","potion","normal","glass","2000","557","1733","417","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40033","萬能藥(力量)","power.PanaceaStr","萬能藥(力量)","potion","normal","glass","20000","1143","2983","0","1","0","0","0","50","0","1","0","1","0","0","0","0","1"
"40034","萬能藥(體質)","power.PanaceaCon","萬能藥(體質)","potion","normal","glass","20000","1140","2987","0","1","0","0","0","50","0","1","0","1","0","0","0","0","1"
"40035","萬能藥(敏捷)","power.PanaceaDex","萬能藥(敏捷)","potion","normal","glass","20000","1141","2984","0","1","0","0","0","50","0","1","0","1","0","0","0","0","1"
"40036","萬能藥(智慧)","power.PanaceaInt","萬能藥(智慧)","potion","normal","glass","20000","1142","2985","0","1","0","0","0","50","0","1","0","1","0","0","0","0","1"
"40037","萬能藥(精神)","power.PanaceaWis","萬能藥(精神)","potion","normal","glass","20000","1144","2986","0","1","0","0","0","50","0","1","0","1","0","0","0","0","1"
"40038","萬能藥(魅力)","power.PanaceaCha","萬能藥(魅力)","potion","normal","glass","20000","1139","2988","0","1","0","0","0","50","0","1","0","1","0","0","0","0","1"
"40039","紅酒","brave.Acceleration_Potion","$3405","potion","power","glass","160","1646","4249","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40040","威士忌","brave.Acceleration_Potion","$3406","potion","power","glass","160","1647","4250","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"40041","人魚之鱗","Water_Essence","$1508","potion","normal","bone","3900","556","1732","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40042","精神藥水","mp.Mpr4","$3370","potion","mpr","glass","31000","1730","4324","1406","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40043","兔子的肝","hp.Rabbit_Liver","$1943","potion","hpr","glass","19500","904","3041","0","1","0","0","0","0","0","1","0","0","2","1000","0","0","0"
"40044","鑽石","0","$512","gem","none","gemstone","40","236","771","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40045","紅寶石","0","$513","gem","none","gemstone","40","242","774","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40046","藍寶石","0","$514","gem","none","gemstone","40","245","775","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40047","綠寶石","0","$515","gem","none","gemstone","40","239","772","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"40048","品質鑽石","0","$799 $512","gem","none","gemstone","40","237","771","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
